iter	Passed	Remaining
267	18953	334662
268	19030	334702
269	19109	334778
270	19192	334903
271	19268	334935
272	19347	335001
273	19435	335221
274	19524	335464
275	19603	335537
276	19686	335666
277	19766	335741
278	19841	335749
279	19917	335752
280	19997	335837
281	20080	335949
282	20161	336046
283	20244	336171
284	20325	336265
285	20406	336352
286	20484	336394
287	20558	336351
288	20635	336373
289	20709	336358
290	20781	336294
291	20857	336285
292	20930	336250
293	21003	336199
294	21079	336200
295	21155	336207
296	21237	336298
297	21314	336316
298	21394	336380
299	21474	336432
300	21551	336452
301	21630	336495
302	21712	336575
303	21790	336611
304	21869	336645
305	21949	336697
306	22028	336739
307	22102	336711
308	22178	336689
309	22256	336717
310	22332	336711
311	22407	336689
312	22484	336690
313	22558	336646
314	22631	336601
315	22706	336573
316	22783	336578
317	22859	336572
318	22937	336584
319	23016	336618
320	23089	336553
321	23163	336520
322	23231	336392
323	23299	336254
324	23364	336095
325	23431	335941
326	23496	335780
327	23562	335626
328	23628	335472
329	23696	335341
330	23764	335214
331	23834	335113
332	23900	334962
333	23967	334827
334	24038	334745
335	24108	334651
336	24175	334510
337	24241	334362
338	24306	334200
339	24372	334041
340	24438	333900
341	24509	333821
342	24585	333798
343	24654	333693
344	24721	333559
345	24789	333442
346	24854	333284
347	24922	333159
348	24992	333071
349	25065	333014
350	25134	332901
351	25201	332776
352	25268	332647
353	25337	332537
354	25407	332447
355	25480	332389
356	25548	332270
357	25622	332235
358	25697	332208
359	25773	332197
360	25847	332148
361	25919	332082
362	25987	331966
363	26057	331881
364	26128	331800
365	26201	331737
366	26271	331647
367	26338	331520
368	26406	331401
369	26475	331307
370	26541	331166
371	26609	331044
372	26678	330944
373	26759	330992
374	26833	330941
375	26901	330834
376	26972	330748
377	27040	330637
378	27107	330512
379	27174	330389
380	27242	330267
381	27309	330144
382	27380	330065
383	27448	329948
384	27516	329842
385	27588	329775
386	27667	329794
387	27743	329774
388	27826	329838
389	27905	329860
390	27984	329875
391	28069	329963
392	28151	330005
393	28226	329983
394	28307	330018
395	28409	330293
396	28497	330411
397	28591	330597
398	28702	330974
399	28787	331058
